Newspaper,count
25.6,3
8.7,3
9.3,3
45.1,2
30.0,2
7.4,2
8.5,2
31.6,2
38.7,2
23.5,2
18.3,2
52.9,2
34.6,2
3.6,2
6.0,2
6.4,2
23.2,2
22.3,2
29.7,2
59.0,2
37.7,2
13.1,2
14.2,2
21.4,2
22.9,2
4.0,1
55.8,1
65.9,1
43.2,1
24.2,1
21.2,1
1.0,1
11.6,1
75.0,1
58.4,1
58.5,1
19.1,1
53.4,1
26.2,1
7.2,1
46.0,1
114.0,1
69.3,1
69.2,1
35.7,1
31.5,1
43.3,1
26.4,1
1.8,1
32.0,1
45.7,1
35.1,1
38.6,1
0.3,1
5.0,1
49.6,1
19.5,1
12.6,1
40.8,1
15.9,1
27.3,1
54.7,1
8.4,1
28.9,1
10.2,1
11.0,1
0.9,1
2.2,1
31.7,1
27.2,1
31.3,1
60.0,1
16.6,1
58.7,1
39.6,1
36.8,1
23.1,1
9.4,1
20.7,1
89.4,1
19.3,1
33.8,1
32.5,1
36.9,1
63.2,1
73.4,1
51.4,1
33.0,1
72.3,1
65.7,1
16.0,1
35.6,1
22.0,1
5.9,1
10.9,1
51.2,1
100.9,1
49.8,1
5.3,1
45.9,1
17.9,1
5.5,1
56.5,1
2.4,1
10.7,1
41.4,1
49.9,1
18.5,1
14.8,1
52.7,1
34.5,1
79.2,1
12.4,1
74.2,1
50.4,1
46.2,1
50.6,1
9.2,1
3.2,1
43.1,1
43.0,1
2.1,1
25.9,1
15.6,1
20.5,1
1.7,1
12.9,1
75.6,1
37.9,1
34.4,1
38.9,1
9.0,1
44.3,1
11.9,1
20.6,1
37.0,1
48.7,1
9.5,1
65.6,1
59.7,1
50.5,1
5.7,1
30.7,1
24.3,1
5.4,1
84.8,1
21.6,1
45.2,1
19.4,1
57.6,1
18.4,1
47.4,1
17.0,1
12.8,1
41.8,1
49.3,1
20.3,1
35.2,1
17.6,1
23.7,1
27.4,1
71.8,1
19.6,1
8.3,1
26.6,1
18.2,1
23.4,1
3.7,1
5.8,1
13.8,1
8.1,1
66.2,1
